T恤	ti4 xu4
英格兰	ying1 ge2 lan2
英国	ying1 guo2
英国国会	ying1 guo2 guo2 hui4
英国人	ying1 guo2 ren2
英汉	ying1 han4
英吉利海峡	ying1 ji2 li4 hai3 xia2
英杰	ying1 jie2
英军	ying1 jun1
英俊	ying1 jun4
英里	ying1 li3
英联邦	ying1 lian2 bang1
英两	ying1 liang3
英烈	ying1 lie4
英灵	ying1 ling2
英明	ying1 ming2
英名	ying1 ming2
英亩	ying1 mu3
英石	ying1 shi2
英特尔	ying1 te4 er3
英文	ying1 wen2
英武	ying1 wu3
英雄	ying1 xiong2
英雄主义	ying1 xiong2 zhu3 yi4
英雄壮举	ying1 xiong2 zhuang4 ju3
英英	ying1 ying1
英勇	ying1 yong3
英语	ying1 yu3
英制	ying1 zhi4
英姿	ying1 zi1
樱花	ying1 hua1
樱花园	ying1 hua1 yuan2
樱桃	ying1 tao2
婴	ying1
婴儿	ying1 er2
婴孩	ying1 hai2
鹰	ying1
鹰派	ying1 pai4
鹰厦铁路	ying1 xia4 tie3 lu4
鹰爪	ying1 zhua3
应	ying1
应	ying4
应变	ying4 bian4
应承	ying4 cheng2
应酬	ying4 chou2
应答	ying4 da1
应当	ying1 dang1
应对	ying4 dui4
应付	ying4 fu4
应该	ying1 gai1
应和	ying4 he2
应急	ying4 ji2
应急措施	ying4 ji2 cuo4 shi1
应接不暇	ying4 jie1 bu4 xia2
应届	ying1 jie4
应届毕业生	ying1 jie4 bi4 ye4 sheng1
应考	ying4 kao3
应力	ying4 li4
应聘	ying4 pin4
应声	ying1 sheng1
应声	ying4 sheng1
应时	ying4 shi2
应试	ying4 shi4
应收	ying4 shou1
应验	ying4 yan4
应邀	ying4 yao1
应用	ying4 yong4
应用技术	ying4 yong4 ji4 shu4
应用科学	ying4 yong4 ke1 xue2
应用研究	ying1 yong4 yan2 jiu1
应用于	ying4 yong4 yu2
应有	ying1 you3
应有尽有	ying1 you3 jin4 you3
应允	ying1 yun3
应运	ying4 yun4
应运而生	ying4 yun4 er2 sheng1
应战	ying4 zhan4
应征	ying4 zheng1
应制	ying4 zhi4
萤	ying2
萤石	ying2 shi2
营	ying2
营长	ying2 zhang3
营地	ying2 di4
营房	ying2 fang2
营建	ying2 jian4
营救	ying2 jiu4
营口	ying2 kou3
营利	ying2 li4
营生	ying2 sheng1
营私	ying2 si1
营养	ying2 yang3
营养不良	ying2 yang3 bu4 liang2
营养繁殖	ying2 yang3 fan2 zhi2
营养器官	ying2 yang3 qi4 guan1
营养学	ying2 yang3 xue2
营养学家	ying2 yang3 xue2 jia1
营养盐	ying2 yang3 yan2
营养元素	ying2 yang3 yuan2 su4
营养状况	ying2 yang3 zhuang4 kuang4
营业	ying2 ye4
营业部	ying2 ye4 bu4
营业额	ying2 ye4 e2
营业税	ying2 ye4 shui4
营业员	ying2 ye4 yuan2
营业执照	ying2 ye4 zhi2 zhao4
营造	ying2 zao4
营造林	ying2 zao4 lin2
荧光	ying2 guang1
荧光彩灯	ying2 guang1 cai3 deng1
荧光粉	ying2 guang1 fen3
荧光屏	ying2 guang1 ping2
迎	ying2
迎宾	ying2 bin1
迎春	ying2 chun1
迎春花	ying2 chun1 hua1
迎春花卉	ying2 chun1 hua1 hui4
迎春联欢	ying2 chun1 lian2 huan1
迎风	ying2 feng1
迎合	ying2 he2
迎候	ying2 hou4
迎击	ying2 ji1
迎接	ying2 jie1
迎面	ying2 mian4
迎亲	ying2 qin1
迎刃而解	ying4 ren4 er2 jie3
迎送	ying2 song4
迎头	ying2 tou2
迎头赶上	ying2 tou2 gan3 shang4
迎头痛击	ying2 tou2 tong4 ji1
迎新	ying2 xin1
迎新春联欢	ying2 xin1 chun1 lian2 huan1
迎新年	ying2 xin1 nian2
迎战	ying2 zhan4
赢	ying2
赢得	ying2 de2
赢家	ying2 jia1
赢利	ying2 li4
盈亏	ying2 kui1
盈利	ying2 li4
盈盈	ying2 ying2
盈余	ying2 yu2
盈余额	ying2 yu2 e2
影	ying3
影壁	ying3 bi4
影调	ying3 diao4
影碟	ying3 die2
影儿	ying3 er2
影片	ying3 pian4
影射	ying3 she4
影戏	ying3 xi4
影响	ying3 xiang3
影响力	ying3 xiang3 li4
影像	ying3 xiang4
影星	ying3 xing1
影印	ying3 yin4
影院	ying3 yuan4
影展	ying3 zhan3
影子	ying3 zi5
颖	ying3
硬	ying4
硬梆梆	ying4 bang1 bang1
硬币	ying4 bi4
硬度	ying4 du4
硬骨头	ying4 gu2 tou5
硬骨鱼类	ying4 gu3 yu2 lei4
硬汉	ying4 han4
硬汉子	ying4 han4 zi5
硬化	ying4 hua4
硬件	ying4 jian4
硬壳	ying4 ke2
硬朗	ying4 lang5
硬朗朗	ying4 lang5 lang5
硬面	ying4 mian4
硬木	ying4 mu4
硬盘	ying4 pan2
硬是	ying4 shi4
硬水	ying4 shui3
硬说	ying4 shuo1
硬性	ying4 xing4
硬性规定	ying4 xing4 gui1 ding4
硬仗	ying4 zhang4
硬脂	ying4 zhi1
硬纸板	ying4 zhi3 ban3
硬质合金	ying4 zhi4 he2 jin1
硬着头皮	ying4 zhe5 tou2 pi2
映射	ying4 she4
映象	ying4 xiang4
映照	ying4 zhao4
哟	yo1
哟	yo5
拥抱	yong1 bao4
拥兵	yong1 bing1
拥戴	yong1 dai4
拥护	yong1 hu4
拥挤	yong1 ji3
拥军优属	yong1 jun1 you1 shu3
拥有	yong1 you3
拥政爱民	yong1 zheng4 ai4 min2
佣工	yong1 gong1
佣金	yong4 jin1
佣人	yong1 ren5
臃肿	yong1 zhong3
庸	yong1
庸人	yong1 ren2
庸俗	yong1 su2
庸俗化	yong1 su2 hua4
庸俗进化论	yong1 su2 jin4 hua4 lun4
雍正	yong1 zheng4
踊跃	yong3 yue4
蛹	yong3
泳	yong3
涌	yong3
涌到	yong3 dao4
涌入	yong3 ru4
涌上	yong3 shang4
涌现	yong3 xian4
永	yong3
永安	yong3 an1
永别	yong3 bie2
永波	yong3 bo1
永不	yong3 bu4
永睬	yong3 cai3
永昌	yong3 chang1
永垂不朽	yong3 chui2 bu4 xiu3
永磁	yong3 ci2
永存	yong3 cun2
永定河	yong3 ding4 he2
永动机	yong3 dong4 ji1
永和	yong3 he2
永和县	yong3 he2 xian4
永恒	yong3 heng2
永红	yong3 hong2
永嘉	yong3 jia1
永健	yong3 jian4
永江	yong3 jiang1
永久	yong3 jiu3
永久性	yong3 jiu3 xing4
永久中立国	yong3 jiu3 zhong1 li4 guo2
永乐	yong3 le4
永南	yong3 nan2
永年	yong3 nian2
永宁	yong3 ning2
永平	yong3 ping2
永清	yong3 qing1
永生	yong3 sheng1
永升	yong3 sheng1
永盛	yong3 sheng4
永胜	yong3 sheng4
永世	yong3 shi4
永图	yong3 tu2
永新	yong3 xin1
永兴	yong3 xing1
永浴爱河	yong3 yu3 ai4 he3
永远	yong3 yuan3
永荪	yong3 sun1
勇	yong3
勇峰	yong3 feng1
勇敢	yong3 gan3
勇将	yong3 jiang4
勇猛	yong3 meng3
勇气	yong3 qi4
勇士	yong3 shi4
勇往直前	yong3 wang3 zhi2 qian2
勇贤	yong3 xian2
勇于	yong3 yu2
勇者	yong3 zhe3
用	yong4
用兵	yong4 bing1
用不了	yong4 bu4 liao3
用不着	yong4 bu4 zhao2
用餐	yong4 can1
用场	yong4 chang2
用处	yong4 chu5
用得着	yong4 de5 zhao2
用度	yong4 du4
用法	yong4 fa3
用费	yong4 fei4
用功	yong4 gong1
用光	yong4 guang1
用户	yong4 hu4
用计	yong4 ji4
用尽	yong4 jin4
用劲	yong4 jin4
用旧	yong4 jiu4
用具	yong4 ju4
用来	yong4 lai2
用力	yong4 li4
用量	yong4 liang4
用品	yong4 pin3
用钱	yong4 qian2
用人	yong4 ren2
用事	yong4 shi4
用途	yong4 tu2
用武	yong4 wu3
用心	yong4 xin1
用以	yong4 yi3
用意	yong4 yi4
用印	yong4 yin4
用于	yong4 yu2
用语	yong4 yu3
幽	you1
幽暗	you1 an4
幽谷	you1 gu3
幽静	you1 jing4
幽灵	you1 ling2
幽明	you1 ming2
幽默	you1 mo4
幽深	you1 shen1
幽香	you1 xiang1
幽雅	you1 ya3
幽幽	you1 you1
幽州	you1 zhou1
优	you1
优待	you1 dai4
优等	you1 deng3
优点	you1 dian3
优抚	you1 fu3
优厚	you1 hou4
优惠	you1 hui4
优惠贷款	you1 hui4 dai4 kuan3
优惠条件	you1 hui4 tiao2 jian4
优良	you1 liang2
优良单株	you1 liang2 dan1 zhu1
优劣	you1 lie4
优美	you1 mei3
优生	you1 sheng1
优生学	you1 sheng1 xue2
优胜	you1 sheng4
优势	you1 shi4
优先	you1 xian1
优先股	you1 xian1 gu3
优先权	you1 xian1 quan2
优秀	you1 xiu4
优选法	you1 xuan3 fa3
优雅	you1 ya3
优异	you1 yi4
优越	you1 yue4
优越性	you1 yue4 xing4
优质	you1 zhi4
优质钢	you1 zhi4 gang1
悠	you1
悠长	you1 chang2
悠荡	you1 dang4
悠久	you1 jiu3
悠然	you1 ran2
悠闲	you1 xian2
悠扬	you1 yang2
悠悠	you1 you1
悠哉游哉	you1 zai1 you2 zai1
忧	you1
忧愁	you1 chou2
忧愤	you1 fen4
忧国	you1 guo2
忧患	you1 huan4
忧虑	you1 lu:4
忧民	you1 min2
忧伤	you1 shang1
忧心	you1 xin1
忧心忡忡	you1 xin1 chong1 chong1
忧郁	you1 yu4
尤	you2
尤其	you2 qi2
由	you2
由不得	you2 bu4 de2
由此	you2 ci3
由此可见	you2 ci3 ke3 jian4
由来	you2 lai2
由来已久	you2 lai2 yi3 jiu3
由头	you2 tou5
由下而上	you2 xia4 er2 shang4
由于	you2 yu2
由衷	you2 zhong1
邮	you2
邮包	you2 bao1
邮报	you2 bao4
邮编	you2 bian1
邮差	you2 chai1
邮传部	you2 chuan2 bu4
邮戳	you2 chuo1
邮递	you2 di4
邮电	you2 dian4
邮电部	you2 dian4 bu4
邮电学院	you2 dian4 xue2 yuan4
邮费	you2 fei4
邮购	you2 gou4
邮寄	you2 ji4
邮件	you2 jian4
邮局	you2 ju2
邮票	you2 piao4
邮筒	you2 tong3
邮箱	you2 xiang1
邮政	you2 zheng4
邮政编号	you2 zheng4 bian1 hao4
邮政编码	you2 zheng4 bian1 ma3
邮政局	you2 zheng4 ju2
铀	you2
犹如	you2 ru2
犹他	you2 ta1
犹他州	you2 ta1 zhou1
犹太	you2 tai4
犹太复国主义	you2 tai4 fu4 guo2 zhu3 yi4
犹太人	you2 tai4 ren2
犹疑	you2 yi5
犹豫	you2 yu4
犹豫不决	you2 yu4 bu4 jue2
油	you2
油泵	you2 beng4
油饼	you2 bing3
油布	you2 bu4
油彩	you2 cai3
油菜	you2 cai4
油菜籽	you2 cai4 zi3
油藏	you2 cang2
油槽	you2 cao2
油层	you2 ceng2
油茶	you2 cha2
油船	you2 chuan2
油灯	you2 deng1
油坊	you2 fang2
油管	you2 guan3
油管线	you2 guan3 xian4
油管子	you2 guan3 zi5
油罐	you2 guan4
油罐车	you2 guan4 che1
油光	you2 guang1
油滑	you2 hua2
油画	you2 hua4
油灰	you2 hui1
油井	you2 jing3
油锯	you2 ju4
油库	you2 ku4
油矿	you2 kuang4
油料	you2 liao4
油料作物	you2 liao4 zuo4 wu4
油绿	you2 lu:4
油轮	you2 lun2
油毛毡	you2 mao2 zhan1
油门	you2 men2
油墨	you2 mo4
油泥	you2 ni2
油腻	you2 ni4
油漆	you2 qi1
油气	you2 qi4
油气田	you2 qi4 tian2
油然而生	you2 ran2 er2 sheng1
油水	you2 shui5
油水井	you2 shui3 jing3
油松	you2 song1
油酸	you2 suan1
油田	you2 tian2
油条	you2 tiao2
油桐	you2 tong2
油桶	you2 tong3
油污	you2 wu1
油箱	you2 xiang1
油性	you2 xing4
油压	you2 ya1
油烟	you2 yan1
油印	you2 yin4
油毡	you2 zhan1
油脂	you2 zhi1
油纸	you2 zhi3
油渍	you2 zi4
油棕	you2 zong1
油嘴	you2 zui3
游	you2
游标卡尺	you2 biao1 ka3 chi3
游船	you2 chuan2
游荡	you2 dang4
游动	you2 dong4
游逛	you2 guang4
游击	you2 ji1
游击队	you2 ji1 dui4
游击队员	you2 ji1 dui4 yuan2
游击战	you2 ji1 zhan4
游记	you2 ji4
游客	you2 ke4
游览	you2 lan3
游览车	you2 lan3 che1
游乐	you2 le4
游乐场	you2 le4 chang3
游离	you2 li2
游历	you2 li4
游民	you2 min2
游牧	you2 mu4
游牧民族	you2 mu4 min2 zu2
游人	you2 ren2
游山玩水	you2 shan1 wan2 shui3
游手好闲	you2 shou3 hao4 xian2
游丝	you2 si1
游艇	you2 ting3
游玩	you2 wan2
游戏	you2 xi4
游行	you2 xing2
游行者	you2 xing2 zhe3
游艺	you2 yi4
游艺会	you2 yi4 hui4
游泳	you2 yong3
游泳池	you2 yong3 chi2
游泳圈	you2 yong3 quan1
游泳赛	you2 yong3 sai4
游泳衣	you2 yong3 yi1
游园	you2 yuan2
游资	you2 zi1
游子	you2 zi3
游嬉	you2 xi1
有	you3
有碍	you3 ai4
有产阶级	you3 chan3 jie1 ji2
有产者	you3 chan3 zhe3
有朝一日	you3 zhao1 yi1 ri4
有成	you3 cheng2
有出入	you3 chu1 ru4
有错	you3 cuo4
有待	you3 dai4
有的	you3 de5
有的人	you3 de5 ren2
有的时候	you3 de5 shi2 hou4
有的是	you3 de5 shi4
有底	you3 di3
有点	you3 dian3
有点儿	you3 dian3 er2
有点火	you3 dian3 huo3
有毒	you3 du2
有芳	you3 fang1
有功	you3 gong1
有关	you3 guan1
有关部门	you3 guan1 bu4 men2
有关单位	you3 guan1 dan1 wei4
有关方面	you3 guan1 fang1 mian4
有光	you3 guang1
有鬼	you3 gui3
有害	you3 hai4
有浩	you3 hao4
有机	you3 ji1
有机玻璃	you3 ji1 bo1 li2
有机肥料	you3 ji1 fei2 liao4
有机合成	you3 ji1 he2 cheng2
有机化合物	you3 ji1 hua4 he2 wu4
有机化学	you3 ji1 hua4 xue2
有机可乘	you3 ji1 ke3 cheng2
有机体	you3 ji1 ti3
有机物	you3 ji1 wu4
有机质	you3 ji1 zhi4
有技巧	you3 ji4 qiao3
有计划	you3 ji4 hua4
有家	you3 jia1
有价证券	you3 jia4 zheng4 quan4
有价值	you3 jia4 zhi2
有劲	you3 jin4
有竞争力	you3 jing4 zheng1 li4
有客	you3 ke4
有空	you3 kong4
有赖	you3 lai4
有劳	you3 lao2
有乐	you3 le4
有理	you3 li3
有理想	you3 li3 xiang3
有利	you3 li4
有利可图	you3 li4 ke3 tu2
有利于	you3 li4 yu2
有力	you3 li4
有良心	you3 liang2 xin1
有没有	you3 mei2 you3
有名	you3 ming2
有名气	you3 ming2 qi4
有名望	you3 ming2 wang4
有名无实	you3 ming2 wu2 shi2
有目共睹	you3 mu4 gong4 du3
有能力	you3 neng2 li4
有期徒刑	you3 qi1 tu2 xing2
有起色	you3 qi3 se4
有钱	you3 qian2
有情	you3 qing2
有请	you3 qing3
有趣	you3 qu4
有权威	you3 quan2 wei1
有人	you3 ren2
有如	you3 ru2
有色	you3 se4
有色金属	you3 se4 jin1 shu3
有色人种	you3 se4 ren2 zhong3
有声有色	you3 sheng1 you3 se4
有生以来	you3 sheng1 yi3 lai2
有失	you3 shi1
有时	you3 shi2
有时候	you3 shi2 hou4
有识	you3 zhi4
有识之士	you3 shi2 zhi1 shi4
有事	you3 shi4
有恃无恐	you3 shi4 wu2 kong3
有数	you3 shu4
有丝分裂	you3 si1 fen1 lie4
有所	you3 suo3
有条不紊	you3 tiao2 bu4 wen3
有条件	you3 tiao2 jian4
有头脑	you3 tou2 nao3
有为	you3 wei2
有谓	you3 wei4
有喜	you3 xi3
有系统	you3 xi4 tong3
有限	you3 xian4
有限公司	you3 xian4 gong1 si1
有限责任	you3 xian4 ze2 ren4
有线	you3 xian4
有线电视	you3 xian4 dian4 shi4
有线广播	you3 xian4 guang3 bo1
有效	you3 xiao4
有效功率	you3 xiao4 gong1 lu:4
有效氯	you3 xiao4 lu:4
有效率	you3 xiao4 lu:4
有效面积	you3 xiao4 mian4 ji1
有效期	you3 xiao4 qi1
有效期限	you3 xiao4 qi1 xian4
有效数字	you3 xiao4 shu4 zi4
有效性	you3 xiao4 xing4
有效值	you3 xiao4 zhi2
有些	you3 xie1
有心	you3 xin1
有心人	you3 xin1 ren2
有信心	you3 xin4 xin1
有形	you3 xing2
有性	you3 xing4
有性生殖	you3 xing4 sheng1 zhi2
有血有肉	you3 xue4 you3 rou4
有一点	you3 yi1 dian3
有一点	you3 yi4 dian3
有一套	you3 yi2 tao4
有意	you3 yi4
有意识	you3 yi4 shi2
有意思	you3 yi4 si1
有意义	you3 yi4 yi4
有益	you3 yi4
有异曲同工之妙	you3 yi4 qu3 tong2 gong1 zhi1 miao4
有用	you3 yong4
有用功	you3 yong4 gong1
有余	you3 yu2
有源	you3 yuan2
有约	you3 yue1
有志气	you3 zhi4 qi4
有智慧	you3 zhi4 hui4
有种	you3 zhong3
有资格	you3 zi1 ge2
有魅力	you3 mei4 li4
友	you3
友爱	you3 ai4
友邦	you3 bang1
友好	you3 hao3
友好代表团	you3 hao3 dai4 biao3 tuan2
友军	you3 jun1
友情	you3 qing2
友人	you3 ren2
友谊	you3 yi4
友谊赛	you3 yi4 sai4
友谊商店	you3 yi4 shang1 dian4
友玉	you3 yu4
右	you4
右岸	you4 an4
右边	you4 bian1
右侧	you4 ce4
右耳	you4 er3
右方	you4 fang1
右军	you4 jun1
右面	you4 mian4
右派	you4 pai4
右倾	you4 qing1
右倾机会主义	you4 qing1 ji1 hui4 zhu3 yi4
右手	you4 shou3
右手定则	you4 shou3 ding4 ze2
右腿	you4 tui3
右翼	you4 yi4
佑才	you4 cai2
釉陶	you4 tao2
诱	you4
诱捕	you4 bu3
诱导	you4 dao3
诱饵	you4 er3
诱发	you4 fa1
诱惑	you4 huo4
诱降	you4 jiang4
诱骗	you4 pian4
诱杀	you4 sha1
又	you4
又红又专	you4 hong2 you4 zhuan1
又及	you4 ji2
幼	you4
幼虫	you4 chong2
幼儿	you4 er2
幼儿园	you4 er2 yuan2
幼根	you4 gen1
幼林	you4 lin2
幼龄林	you4 ling2 lin2
幼苗	you4 miao2
幼年	you4 nian2
幼年时	you4 nian2 shi2
幼女	you4 nu:3
幼平	you4 ping2
幼体	you4 ti3
幼小	you4 xiao3
幼芽	you4 ya2
幼稚	you4 zhi4
迂回	yu1 hui2
淤积	yu1 ji1
淤泥	yu1 ni2
淤血	yu1 xue4
于	yu2
于飞	yu2 fei1
于今	yu2 jin1
于是	yu2 shi4
于是否	yu2 shi4 fou3
于是乎	yu2 shi4 hu1
榆林	yu2 lin2
榆树	yu2 shu4
愚	yu2
愚蠢	yu2 chun3
愚弟	yu2 di4
愚公移山	yu2 gong1 yi2 shan1
愚昧	yu2 mei4
愚昧无知	yu2 mei4 wu2 zhi1
愚民	yu2 min2
愚弄	yu2 nong4
愚人	yu2 ren2
舆论	yu2 lun4
余	yu2
余步	yu2 bu4
余党	yu2 dang3
余地	yu2 di4
余毒	yu2 du2
余额	yu2 e2
余割	yu2 ge1
余家	yu2 jia1
余角	yu2 jiao3
余利	yu2 li4
余力	yu2 li4
余粮	yu2 liang2
余粮收集制	yu2 liang2 shou1 ji2 zhi4
余年	yu2 nian2
余缺	yu2 que1
余数	yu2 shu4
余下	yu2 xia4
余弦	yu2 xian2
余弦定理	yu2 xian2 ding4 li3
余兴	yu2 xing4
余音	yu2 yin1
余震	yu2 zhen4
俞	yu2
逾期	yu2 qi1
逾越	yu2 yue4
鱼	yu2
鱼叉	yu2 cha1
鱼池	yu2 chi2
鱼翅	yu2 chi4
鱼道	yu2 dao4
鱼肚	yu2 du4
鱼肚白	yu2 du4 bai2
鱼粉	yu2 fen3
鱼贯	yu2 guan4
鱼雷	yu2 lei2
鱼类	yu2 lei4
鱼类学	yu2 lei4 xue2
鱼鳞	yu2 lin2
鱼卵	yu2 luan3
鱼米之乡	yu2 mi3 zhi1 xiang1
鱼苗	yu2 miao2
鱼片	yu2 pian4
鱼群	yu2 qun2
鱼肉	yu2 rou4
鱼水	yu2 shui3
鱼水情	yu2 shui3 qing2
鱼塘	yu2 tang2
鱼网	yu2 wang3
鱼尾	yu2 wei3
鱼虾	yu2 xia1
鱼油	yu2 you2
鱼种	yu2 zhong3
愉快	yu2 kuai4
愉悦	yu2 yue4
渔场	yu2 chang3
渔船	yu2 chuan2
渔村	yu2 cun1
渔夫	yu2 fu1
渔港	yu2 gang3
渔歌	yu2 ge1
渔火	yu2 huo3
渔获量	yu2 huo4 liang4
渔具	yu2 ju4
渔捞	yu2 lao1
渔利	yu2 li4
渔轮	yu2 lun2
渔民	yu2 min2
渔期	yu2 qi1
渔区	yu2 qu1
渔人	yu2 ren2
渔事	yu2 shi4
渔网	yu2 wang3
渔汛	yu2 xun4
渔业	yu2 ye4
渔舟	yu2 zhou1
予以	yu3 yi3
娱乐	yu2 le4
娱乐室	yu2 le4 shi4
雨	yu3
雨点	yu3 dian3
雨果	yu3 guo3
雨后春笋	yu3 hou4 chun1 sun3
雨花台	yu3 hua1 tai2
雨季	yu3 ji4
雨嘉	yu3 jia1
雨量	yu3 liang4
雨量器	yu3 liang4 qi4
雨露	yu3 lu4
雨伞	yu3 san3
雨水	yu3 shui3
雨天	yu3 tian1
雨雪	yu3 xue3
雨衣	yu3 yi1
与	yu3
与	yu4
与此同时	yu3 ci3 tong2 shi2
与否	yu3 fou3
与共	yu3 gong4
与国	yu4 guo2
与会	yu4 hui4
与其	yu3 qi2
与人为善	yu3 ren2 wei2 shan4
与日俱增	yu3 ri4 ju4 zeng1
与世长辞	yu3 shi4 chang2 ci2
与众不同	yu3 zhong4 bu4 tong2
禹城	yu3 cheng2
宇	yu3
宇航	yu3 hang2
宇宙	yu3 zhou4
宇宙飞船	yu3 zhou4 fei1 chuan2
宇宙观	yu3 zhou4 guan1
宇宙航行	yu3 zhou4 hang2 hang2
宇宙空间	yu3 zhou4 kong1 jian4
宇宙射线	yu3 zhou4 she4 xian4
宇宙线	yu3 zhou4 xian4
语	yu3
语	yu4
语词	yu3 ci2
语调	yu3 diao4
语法	yu3 fa3
语汇	yu3 hui4
语句	yu3 ju4
语录	yu3 lu4
语气	yu3 qi4
语体文	yu3 ti3 wen2
语文	yu3 wen2
语文学	yu3 wen2 xue2
语系	yu3 xi4
语言	yu3 yan2
语言学	yu3 yan2 xue2
语言障碍	yu3 yan2 zhang4 ai4
语意	yu3 yi4
语音	yu3 yin1
语重心长	yu3 zhong4 xin1 chang2
羽	yu3
羽化	yu3 hua4
羽毛	yu3 mao2
羽毛球	yu3 mao2 qiu2
羽毛球场地	yu3 mao2 qiu2 chang3 di4
羽毛球队	yu3 mao2 qiu2 dui4
羽毛球赛	yu3 mao2 qiu2 sai4
羽绒	yu3 rong2
羽绒布	yu3 rong2 bu4
羽绒衣	yu3 rong2 yi1
羽翼	yu3 yi4
玉	yu4
玉带	yu4 dai4
玉雕	yu4 diao1
玉环	yu4 huan2
玉皇	yu4 huang2
玉兰	yu4 lan2
玉兰片	yu4 lan2 pian4
玉林	yu4 lin2
玉玲	yu4 ling2
玉龙	yu4 long2
玉门	yu4 men2
玉米	yu4 mi3
玉米面	yu4 mi3 mian4
玉米田	yu4 mi3 tian2
玉明	yu4 ming2
玉女	yu4 nu:3
玉盘	yu4 pan2
玉器	yu4 qi4
玉清	yu4 qing1
玉泉	yu4 quan2
玉石	yu4 shi2
玉蜀黍	yu4 shu3 shu3
玉树	yu4 shu4
玉田	yu4 tian2
玉溪	yu4 xi1
玉玺	yu4 xi3
域外	yu4 wai4
芋头	yu4 tou5
郁闭	yu4 bi4
郁闭度	yu4 bi4 du4
郁金香	yu4 jin1 xiang1
郁郁	yu4 yu4
郁郁葱葱	yu4 yu4 cong1 cong1
吁请	yu4 qing3
遇	yu4
遇刺	yu4 ci4
遇到	yu4 dao4
遇害	yu4 hai4
遇见	yu4 jian4
遇难	yu4 nan4
遇事	yu4 shi4
遇事主动	yu4 shi4 zhu3 dong4
遇贤	yu4 xian2
遇险	yu4 xian3
御寒	yu4 han2
御寒衣物	yu4 han2 yi1 wu4
御史大夫	yu4 shi3 dai4 fu1
御用	yu4 yong4
愈	yu4
愈好	yu4 hao3
愈合	yu4 he2
愈加	yu4 jia1
愈来愈	yu4 lai2 yu4
欲	yu4
欲念	yu4 nian4
欲望	yu4 wang4
狱	yu4
狱吏	yu4 li4
育	yu4
育成杂交	yu4 cheng2 za2 jiao1
育雏	yu4 chu2
育儿园	yu4 er2 yuan2
育肥	yu4 fei2
育林	yu4 lin2
育龄	yu4 ling2
育苗	yu4 miao2
育秧	yu4 yang1
育秧苗床	yu4 yang1 miao2 chuang2
育幼园	yu4 you4 yuan2
育种	yu4 zhong3
浴	yu4
浴池	yu4 chi2
浴缸	yu4 gang1
浴盆	yu4 pen2
浴室	yu4 shi4
浴血	yu4 xue4
浴血奋战	yu4 xie3 fen4 zhan4
寓	yu4
寓所	yu4 suo3
寓言	yu4 yan2
寓意	yu4 yi4
寓于	yu4 yu2
裕丰	yu4 feng1
预	yu4
预报	yu4 bao4
预备	yu4 bei4
预备队	yu4 bei4 dui4
预备立宪	yu4 bei4 li4 xian4
预备立宪公会	yu4 bei4 li4 xian4 gong1 hui4
预测	yu4 ce4
预处理	yu4 chu3 li3
预定	yu4 ding4
预定金	yu4 ding4 jin1
预订	yu4 ding4
预防	yu4 fang2
预防为主	yu4 fang2 wei2 zhu3
预付	yu4 fu4
预付资本	yu4 fu4 zi1 ben3
预感	yu4 gan3
预告	yu4 gao4
预购	yu4 gou4
预计	yu4 ji4
预计数	yu4 ji4 shu4
预计数字	yu4 ji4 shu4 zi4
预见	yu4 jian4
预科	yu4 ke1
预科班	yu4 ke1 ban1
预料	yu4 liao4
预谋	yu4 mou2
预期	yu4 qi1
预热	yu4 re4
预赛	yu4 sai4
预设	yu4 she4
预审	yu4 shen3
预示	yu4 shi4
预算	yu4 suan4
预算案	yu4 suan4 an4
预算赤字	yu4 suan4 chi4 zi4
预算法	yu4 suan4 fa3
预算法案	yu4 suan4 fa3 an4
预习	yu4 xi2
预先	yu4 xian1
预想	yu4 xiang3
预选	yu4 xuan3
预言	yu4 yan2
预演	yu4 yan3
预应力	yu4 ying4 li4
预约	yu4 yao1
预兆	yu4 zhao4
预支	yu4 zhi1
预知	yu4 zhi1
预制	yu4 zhi4
豫	yu4
豫剧	yu4 ju4
豫剧团	yu4 ju4 tuan2
豫州	yu4 zhou1
鸳鸯	yuan1 yang1
渊	yuan1
渊博	yuan1 bo2
渊源	yuan1 yuan2
冤	yuan1
冤案	yuan1 an4
冤仇	yuan1 chou2
冤魂	yuan1 hun2
冤家	yuan1 jia1
冤屈	yuan1 qu1
冤枉	yuan1 wang3
冤狱	yuan1 yu4
元	yuan2
元宝	yuan2 bao3
元朝	yuan2 chao2
元初	yuan2 chu1
元旦	yuan2 dan4
元嘉	yuan2 jia1
元件	yuan2 jian4
元老	yuan2 lao3
元老院	yuan2 lao3 yuan4
元年	yuan2 nian2
元气	yuan2 qi4
元曲	yuan2 qu3
元山	yuan2 shan1
元史	yuan2 shi3
元世祖	yuan2 shi4 zu3
元首	yuan2 shou3
元帅	yuan2 shuai4
元素	yuan2 su4
元素符号	yuan2 su4 fu2 hao4
元素周期律	yuan2 su4 zhou1 qi1 lu:4
元宵	yuan2 xiao1
元宵节	yuan2 xiao1 jie2
元宵夜	yuan2 xiao1 ye4
元凶	yuan2 xiong1
元勋	yuan2 xun1
元音	yuan2 yin1
元元	yuan2 yuan2
元月	yuan2 yue4
袁	yuan2
袁绍	yuan2 shao4
袁世凯	yuan2 shi4 kai3
原	yuan2
原案	yuan2 an4
原版	yuan2 ban3
